t,SC_ECEF_x_km,SC_ECEF_y_km,SC_ECEF_z_km,elevation_degree,illuminated_boolean,
2021.04.17 10:04:08,4208.98,140.767,5289.24,30.8917,30,
2021.04.17 10:04:09,4208.95,148.446,5289.06,31.2465,30,
2021.04.17 10:04:10,4208.91,156.124,5288.87,31.6069,30,
2021.04.17 10:04:11,4208.87,163.803,5288.68,31.9729,30,
2021.04.17 10:04:12,4208.82,171.481,5288.48,32.3446,30,
2021.04.17 10:04:13,4208.77,179.159,5288.27,32.7223,30,
2021.04.17 10:04:14,4208.71,186.836,5288.06,33.106,30,
2021.04.17 10:04:15,4208.65,194.513,5287.84,33.4959,30,
2021.04.17 10:04:16,4208.58,202.191,5287.61,33.8921,30,
2021.04.17 10:04:17,4208.5,209.867,5287.38,34.2947,30,
2021.04.17 10:04:18,4208.42,217.544,5287.14,34.7039,30,
2021.04.17 10:04:19,4208.34,225.22,5286.89,35.1198,30,
2021.04.17 10:04:20,4208.25,232.896,5286.64,35.5426,30,
2021.04.17 10:04:21,4208.15,240.572,5286.38,35.9723,30,
2021.04.17 10:04:22,4208.05,248.247,5286.11,36.4093,30,
